Concelho,Datahora,M,FG,Via,Km,Natureza
Arganil,17-08-2011 08:50,1,1,EN17,"48,200",Despiste com colisão com veículo imobil. ...
Arganil,05-01-2011 18:00,0,1,EN342,"112,100",Colisão com veiculo ou obstáculo na faix...
Arganil,08-10-2011 20:45,1,0,EN342-4,"5,000",Despiste com transposição do dispositivo...
Arganil,06-07-2011 11:00,1,1,IC6,"12,800",Despiste simples
Cantanhede,02-12-2011 15:55,0,1,-,-,Colisão lateral com outro veículo em mov...
Cantanhede,14-03-2011 07:00,1,1,EM583,-,Colisão frontal
Cantanhede,14-11-2011 08:45,0,2,EN234-1,"2,000",Colisão frontal
Cantanhede,18-04-2011 19:30,1,0,EN334,"19,000",Colisão traseira com outro veículo em m...
Cantanhede,25-01-2011 14:40,0,1,R PEREIRÕES,-,Despiste simples
Cantanhede,09-01-2011 22:00,0,1,RUA 25 DE ABRIL 39,-,Despiste simples
Coimbra,14-11-2011 10:45,0,1,-,-,Colisão frontal
Coimbra,09-11-2011 06:35,0,1,A1,"182,280",Colisão traseira com outro veículo em m...
Coimbra,16-04-2011 11:40,1,6,A1,"189,300",Despiste com capotamento
Coimbra,10-12-2011 03:11,1,0,ACC-IC3,-,Colisão lateral com outro veículo em mov...
Coimbra,12-07-2011 04:40,0,1,Avenida Fernão de ...,-,Despiste com colisão com veículo imobil. ...
Coimbra,28-10-2011 08:15,1,0,EM1152,-,Colisão traseira com outro veículo em m...
Coimbra,04-01-2011 19:00,1,0,EN1,"187,700",Colisão frontal
Coimbra,30-10-2011 20:45,0,1,EN1,"198,993",Colisão com fuga
Coimbra,05-04-2011 22:10,0,1,EN110,"15,800",Colisão frontal
Coimbra,22-05-2011 13:00,0,1,EN111,"30,400",Despiste simples
Coimbra,30-06-2011 18:15,0,1,EN111-1,"0,900",Despiste simples
Coimbra,01-03-2011 09:30,1,0,EN111-1,-,Colisão com outras situações
Coimbra,14-10-2011 10:00,0,1,EN111-1,-,Colisão lateral com outro veículo em mov...
Coimbra,24-02-2011 11:30,0,1,Estrada de Coselha...,-,Colisão lateral com outro veículo em mov...
Coimbra,15-04-2011 21:00,0,2,IC2,"178,723",Colisão frontal
Coimbra,05-02-2011 00:00,1,1,IC2,"178,730",Colisão frontal
Coimbra,09-07-2011 23:17,2,0,IC2,"185,600",Colisão frontal
Coimbra,26-02-2011 07:40,0,1,IP3,"43,220",Despiste com capotamento
Coimbra,01-06-2011 22:00,0,1,R CASAL DO GAIO ...,-,Despiste simples
Coimbra,24-11-2011 08:10,0,2,R D DUARTE NUN...,-,Colisão lateral com outro veículo em mov...
Coimbra,07-02-2011 13:45,0,2,Rua Bairro das Flor...,-,Atropelamento de peões
Coimbra,27-06-2011 11:30,0,1,Rua da Liberdade 2,-,Despiste com colisão com veículo imobil. ...
Coimbra,26-03-2011 14:30,0,1,Rua da Sofia 86,-,Atropelamento de peões
Coimbra,16-05-2011 18:35,0,1,Rua Manuel Madeir...,-,Despiste sem dispositivo de retenção
Condeixa-a-Nova,11-04-2011 20:15,0,1,A1,"178,250",Despiste com transposição do dispositivo...
Condeixa-a-Nova,21-11-2011 11:30,0,2,A1,"178,400",Despiste com capotamento
Condeixa-a-Nova,18-04-2011 10:20,1,0,A1,"185,095",Despiste com dispositivo de retenção
Condeixa-a-Nova,17-01-2011 08:30,1,0,EM605,"0,850",Colisão frontal
Condeixa-a-Nova,24-11-2011 14:30,0,1,EM609,-,Despiste com capotamento
Condeixa-a-Nova,06-10-2011 19:15,0,1,EN342,"34,200",Despiste com capotamento
Condeixa-a-Nova,10-06-2011 12:20,0,2,EN347,"29,800",Colisão traseira com outro veículo em m...
Condeixa-a-Nova,21-01-2011 14:55,0,1,EN347-1,"3,850",Colisão lateral com outro veículo em mov...
Condeixa-a-Nova,14-04-2011 19:00,0,1,EN347-1,-,Despiste com capotamento
Condeixa-a-Nova,06-08-2011 02:00,0,1,R PRINCIPAL,-,Despiste simples
Figueira da Foz,22-06-2011 19:10,0,1,-,-,Despiste simples
Figueira da Foz,02-11-2011 08:30,1,0,A17,"38,755",Despiste com transposição do dispositivo...
Figueira da Foz,28-02-2011 14:00,1,0,A17,"69,483",Despiste com capotamento
Figueira da Foz,06-05-2011 14:10,0,1,ACC-IC1,"119,300",Despiste com dispositivo de retenção
Figueira da Foz,30-10-2011 00:05,0,1,Avenida 12 de Julh...,-,Despiste com colisão com veículo imobil. ...
Figueira da Foz,16-05-2011 18:25,0,1,Avenida do Brasil 1...,-,Atropelamento de peões
Figueira da Foz,28-06-2011 01:30,0,1,Avenida Dom João ...,-,Despiste com capotamento
Figueira da Foz,24-07-2011 01:45,0,1,Avenida Saraiva de...,-,Despiste com colisão com veículo imobil. ...
Figueira da Foz,11-09-2011 11:50,1,0,EN109,"112,400",Colisão com veiculo ou obstáculo na faix...
Figueira da Foz,09-03-2011 06:00,0,1,EN109,"127,500",Despiste com colisão com veículo imobil. ...
Figueira da Foz,02-12-2011 11:05,0,1,EN111,"10,200",Colisão frontal
Figueira da Foz,17-04-2011 11:15,0,1,EN347,"8,500",Colisão traseira com outro veículo em m...
Figueira da Foz,11-12-2011 18:50,0,1,EST DOS ARMAZE...,-,Colisão com outras situações
Figueira da Foz,12-08-2011 03:50,0,1,Estrada de Coimbr...,-,Colisão frontal
Figueira da Foz,23-11-2011 10:50,0,2,Estrada de Coimbr...,-,Colisão lateral com outro veículo em mov...
